Layer Number,Layer Name,Rank,Effective Rank
0,self_attn.q_proj,4096,4096
0,self_attn.k_proj,1024,1024
0,self_attn.v_proj,1024,1024
0,self_attn.o_proj,4096,4096
0,mlp.gate_proj,4096,4096
0,mlp.up_proj,4096,4096
0,mlp.down_proj,4096,4096
1,self_attn.q_proj,4096,4096
1,self_attn.k_proj,1024,1024
1,self_attn.v_proj,1024,1024
1,self_attn.o_proj,4096,4096
1,mlp.gate_proj,4096,4096
1,mlp.up_proj,4096,4096
1,mlp.down_proj,4096,4096
2,self_attn.q_proj,4096,4096
2,self_attn.k_proj,1024,1024
2,self_attn.v_proj,1024,1024
2,self_attn.o_proj,4096,4096
2,mlp.gate_proj,4096,4096
2,mlp.up_proj,4096,4096
2,mlp.down_proj,4096,4096
3,self_attn.q_proj,4096,4096
3,self_attn.k_proj,1024,1024
3,self_attn.v_proj,1024,1024
3,self_attn.o_proj,4096,4096
3,mlp.gate_proj,4096,4096
3,mlp.up_proj,4096,4096
3,mlp.down_proj,4096,4096
4,self_attn.q_proj,4096,4096
4,self_attn.k_proj,1024,1024
4,self_attn.v_proj,1024,1024
4,self_attn.o_proj,4096,4096
4,mlp.gate_proj,4096,4096
4,mlp.up_proj,4096,4096
4,mlp.down_proj,4096,4096
5,self_attn.q_proj,4096,4096
5,self_attn.k_proj,1024,1024
5,self_attn.v_proj,1024,1024
5,self_attn.o_proj,4096,4096
5,mlp.gate_proj,4096,4096
5,mlp.up_proj,4096,4096
5,mlp.down_proj,4096,4096
6,self_attn.q_proj,4096,4096
6,self_attn.k_proj,1024,1024
6,self_attn.v_proj,1024,1024
6,self_attn.o_proj,4096,4096
6,mlp.gate_proj,4096,4096
6,mlp.up_proj,4096,4096
6,mlp.down_proj,4096,4096
7,self_attn.q_proj,4096,4096
7,self_attn.k_proj,1024,1024
7,self_attn.v_proj,1024,1024
7,self_attn.o_proj,4096,4096
7,mlp.gate_proj,4096,4096
7,mlp.up_proj,4096,4096
7,mlp.down_proj,4096,4096
8,self_attn.q_proj,4096,4096
8,self_attn.k_proj,1024,1024
8,self_attn.v_proj,1024,1024
8,self_attn.o_proj,4096,4096
8,mlp.gate_proj,4096,4096
8,mlp.up_proj,4096,4096
8,mlp.down_proj,4096,4096
9,self_attn.q_proj,4096,4096
9,self_attn.k_proj,1024,1024
9,self_attn.v_proj,1024,1024
9,self_attn.o_proj,4096,4096
9,mlp.gate_proj,4096,4096
9,mlp.up_proj,4096,4096
9,mlp.down_proj,4096,4096
10,self_attn.q_proj,4096,4096
10,self_attn.k_proj,1024,1024
10,self_attn.v_proj,1024,1024
10,self_attn.o_proj,4096,4096
10,mlp.gate_proj,4096,4096
10,mlp.up_proj,4096,4096
10,mlp.down_proj,4096,4096
11,self_attn.q_proj,4096,4096
11,self_attn.k_proj,1024,1024
11,self_attn.v_proj,1024,1024
11,self_attn.o_proj,4096,4096
11,mlp.gate_proj,4096,4096
11,mlp.up_proj,4096,4096
11,mlp.down_proj,4096,4096
12,self_attn.q_proj,4096,4096
12,self_attn.k_proj,1024,1024
12,self_attn.v_proj,1024,1024
12,self_attn.o_proj,4096,4096
12,mlp.gate_proj,4096,4096
12,mlp.up_proj,4096,4096
12,mlp.down_proj,4096,4096
13,self_attn.q_proj,4096,4096
13,self_attn.k_proj,1024,1024
13,self_attn.v_proj,1024,1024
13,self_attn.o_proj,4096,4096
13,mlp.gate_proj,4096,4096
13,mlp.up_proj,4096,4096
13,mlp.down_proj,4096,4096
14,self_attn.q_proj,4096,4096
14,self_attn.k_proj,1024,1024
14,self_attn.v_proj,1024,1024
14,self_attn.o_proj,4096,4096
14,mlp.gate_proj,4096,4096
14,mlp.up_proj,4096,4096
14,mlp.down_proj,4096,4096
15,self_attn.q_proj,4096,4096
15,self_attn.k_proj,1024,1024
15,self_attn.v_proj,1024,1024
15,self_attn.o_proj,4096,4096
15,mlp.gate_proj,4096,4096
15,mlp.up_proj,4096,4096
15,mlp.down_proj,4096,4096
16,self_attn.q_proj,4096,4096
16,self_attn.k_proj,1024,1024
