Layer Number,Layer Name,Effective Rank
0,self_attn.q_proj,2554.4092
0,self_attn.k_proj,817.98914
0,self_attn.v_proj,952.562
0,self_attn.o_proj,2941.3955
0,mlp.gate_proj,3780.3206
0,mlp.up_proj,3804.1355
0,mlp.down_proj,3928.2432
1,self_attn.q_proj,2878.5244
1,self_attn.k_proj,891.4702
1,self_attn.v_proj,981.91235
1,self_attn.o_proj,3066.5923
1,mlp.gate_proj,3649.6787
1,mlp.up_proj,3911.4622
1,mlp.down_proj,3929.959
2,self_attn.q_proj,2835.1553
2,self_attn.k_proj,860.19714
2,self_attn.v_proj,973.9143
2,self_attn.o_proj,3047.5342
2,mlp.gate_proj,3730.5498
2,mlp.up_proj,3890.5872
2,mlp.down_proj,3906.7683
3,self_attn.q_proj,2942.445
3,self_attn.k_proj,903.333
3,self_attn.v_proj,972.3612
3,self_attn.o_proj,3097.2322
3,mlp.gate_proj,3776.9045
3,mlp.up_proj,3893.119
3,mlp.down_proj,3888.6067
4,self_attn.q_proj,2924.709
4,self_attn.k_proj,895.2439
4,self_attn.v_proj,977.46094
4,self_attn.o_proj,3098.624
4,mlp.gate_proj,3808.444
4,mlp.up_proj,3897.7998
4,mlp.down_proj,3866.9617
5,self_attn.q_proj,2839.5945
5,self_attn.k_proj,877.9467
5,self_attn.v_proj,945.8181
5,self_attn.o_proj,2946.2852
5,mlp.gate_proj,3815.104
5,mlp.up_proj,3894.79
5,mlp.down_proj,3861.379
6,self_attn.q_proj,2943.137
6,self_attn.k_proj,888.77826
6,self_attn.v_proj,966.7205
6,self_attn.o_proj,3034.061
6,mlp.gate_proj,3783.9778
6,mlp.up_proj,3897.636
6,mlp.down_proj,3852.995
7,self_attn.q_proj,2900.0093
7,self_attn.k_proj,880.9637
7,self_attn.v_proj,976.2307
7,self_attn.o_proj,2985.419
7,mlp.gate_proj,3772.2642
7,mlp.up_proj,3892.948
7,mlp.down_proj,3866.5005
8,self_attn.q_proj,2958.1155
8,self_attn.k_proj,895.88153
8,self_attn.v_proj,962.9949
8,self_attn.o_proj,3114.3552
8,mlp.gate_proj,3784.9346
8,mlp.up_proj,3872.0872
8,mlp.down_proj,3817.3896
9,self_attn.q_proj,2892.5354
9,self_attn.k_proj,891.2364
9,self_attn.v_proj,965.4533
9,self_attn.o_proj,3094.472
9,mlp.gate_proj,3787.3572
9,mlp.up_proj,3870.8616
9,mlp.down_proj,3822.4966
10,self_attn.q_proj,2814.2456
10,self_attn.k_proj,855.3645
10,self_attn.v_proj,946.8547
10,self_attn.o_proj,3069.0789
10,mlp.gate_proj,3773.171
10,mlp.up_proj,3842.3723
10,mlp.down_proj,3806.3237
11,self_attn.q_proj,2753.135
11,self_attn.k_proj,862.2431
11,self_attn.v_proj,935.59186
11,self_attn.o_proj,2980.5542
11,mlp.gate_proj,3761.871
11,mlp.up_proj,3819.8406
11,mlp.down_proj,3787.5017
12,self_attn.q_proj,2660.5159
12,self_attn.k_proj,839.3592
12,self_attn.v_proj,920.60876
12,self_attn.o_proj,2880.021
12,mlp.gate_proj,3752.5261
12,mlp.up_proj,3826.2827
12,mlp.down_proj,3780.6702
13,self_attn.q_proj,2802.077
13,self_attn.k_proj,872.97
13,self_attn.v_proj,949.505
13,self_attn.o_proj,3002.7712
13,mlp.gate_proj,3750.8018
13,mlp.up_proj,3825.695
13,mlp.down_proj,3770.8577
14,self_attn.q_proj,2803.4624
14,self_attn.k_proj,843.47015
14,self_attn.v_proj,924.5196
14,self_attn.o_proj,2955.0815
14,mlp.gate_proj,3750.9377
14,mlp.up_proj,3817.2654
14,mlp.down_proj,3798.868
15,self_attn.q_proj,2855.3335
15,self_attn.k_proj,865.38336
15,self_attn.v_proj,970.88416
