Layer Number,Layer Name,Min Singular Value,Max Singular Value,Mean Singular Value,Median Singular Value
0,self_attn.q_proj,5.2149873e-05,9.727738,0.49955368,0.32180834
0,self_attn.k_proj,0.053025484,6.4969153,0.72173357,0.5818912
0,self_attn.v_proj,0.08681878,2.418703,0.62990665,0.6386472
0,self_attn.o_proj,0.0001269211,4.014101,0.48347953,0.3807753
0,mlp.gate_proj,0.13922475,6.875456,1.067456,1.0009041
0,mlp.up_proj,0.11168892,8.834807,1.4088422,1.3321574
0,mlp.down_proj,0.34973016,4.422261,1.4134691,1.3624458
1,self_attn.q_proj,6.198831e-06,4.244605,0.64916575,0.49945247
1,self_attn.k_proj,0.075677946,3.0729904,0.9067503,0.84230816
1,self_attn.v_proj,0.18868937,1.6536813,0.57891154,0.59022105
1,self_attn.o_proj,7.664154e-05,2.365874,0.51316124,0.43123698
1,mlp.gate_proj,0.1640942,6.73871,1.0275087,0.9098929
1,mlp.up_proj,0.17495129,3.9122698,1.4312629,1.43378
1,mlp.down_proj,0.3683163,4.2998295,1.3832865,1.3789995
2,self_attn.q_proj,0.000111365545,4.694644,0.65393996,0.5023428
2,self_attn.k_proj,0.039828334,3.7025743,0.911662,0.80526346
2,self_attn.v_proj,0.2052661,1.6593299,0.57746196,0.57359797
2,self_attn.o_proj,1.8903273e-05,3.382275,0.506503,0.42167032
2,mlp.gate_proj,0.14269811,8.298487,1.1482313,1.0534732
2,mlp.up_proj,0.19397038,5.0044827,1.3424711,1.3262388
2,mlp.down_proj,0.33089724,5.2202086,1.3181224,1.301375
3,self_attn.q_proj,1.0301551e-05,4.707968,0.66409975,0.5358104
3,self_attn.k_proj,0.07239329,3.3357677,0.89328575,0.8141885
3,self_attn.v_proj,0.2092091,1.278116,0.58708954,0.57618
3,self_attn.o_proj,1.5619222e-05,3.2196357,0.52755016,0.44923496
3,mlp.gate_proj,0.1448387,9.47164,1.1998835,1.122435
3,mlp.up_proj,0.17246492,2.5158179,1.2965167,1.2788241
3,mlp.down_proj,0.30829713,4.8585067,1.2794074,1.2521163
4,self_attn.q_proj,1.0394314e-05,4.447946,0.6567408,0.5246141
4,self_attn.k_proj,0.08332165,3.2392972,0.870871,0.78548235
4,self_attn.v_proj,0.23507258,1.204934,0.61187065,0.60482943
4,self_attn.o_proj,0.00024685342,3.2250397,0.53346276,0.4557252
4,mlp.gate_proj,0.21313828,9.296837,1.214793,1.1506176
4,mlp.up_proj,0.23500708,2.69049,1.2993891,1.2836215
4,mlp.down_proj,0.27618057,5.0629396,1.2729855,1.2328824
5,self_attn.q_proj,3.0934287e-05,4.0865736,0.6224121,0.4706095
5,self_attn.k_proj,0.102871105,2.896959,0.8452589,0.7432143
5,self_attn.v_proj,0.16406624,1.2889751,0.5754216,0.5613723
